language_id,form_id,lexeme,cell,source_form,orth_form,phon_form,analysed_orth_form,source,page,paradigm_tag,tense_tag,morphanalysis_tag,overabundance_tag,phonanalysis_tag,variants_tag,order_tag
analnaga,analnaga001,no_stem,1.sg,ní,ní,n i ⁵,ní,Ozerov2019Anal,27,default,NA,NA,NA,NA,NA,NA
analnaga,analnaga002,no_stem,1.du.incl,àní,àní,a ¹ n i ⁵,àní,Ozerov2021Multiple,175-204,unspec_var,NA,NA,optional_plural,NA,NA,NA
analnaga,analnaga003,no_stem,1.du.incl,àní-hín,àníhín,a ¹ n i ⁵ h i ⁵ n,àní+hín,Ozerov2021Multiple,175-204,pragm_marked,NA,NA,NA,NA,NA,NA
analnaga,analnaga004,no_stem,1.du.incl,nàní,nàní,n a ¹ n i ⁵,nàní,Ozerov2021Multiple,175-204,unspec_var,NA,NA,optional_plural,NA,NA,NA
analnaga,analnaga005,no_stem,1.du.incl,nàní-hín,nàníhín,n a ¹ n i ⁵ h i ⁵ n,nàní+hín,Ozerov2021Multiple,175-204,pragm_marked,NA,NA,NA,NA,NA,NA
analnaga,analnaga006,no_stem,1.pl.excl,ní-hín,níhín,n i ⁵ h i ⁵ n,ní+hín,Ozerov2019Anal,27,default,NA,NA,NA,NA,NA,NA
analnaga,analnaga007,no_stem,1.pl.incl,àní-hín,àníhín,a ¹ n i ⁵ h i ⁵ n,àní+hín,Ozerov2021Multiple,175-204,unspec_var,NA,NA,NA,NA,NA,NA
analnaga,analnaga008,no_stem,1.pl.incl,nàní-hín,nàníhín,n a ¹ n i ⁵ h i ⁵ n,nàní+hín,Ozerov2021Multiple,175-204,unspec_var,NA,NA,NA,NA,NA,NA
analnaga,analnaga009,no_stem,2.sg,náŋ,náŋ,n a ⁵ ŋ,náŋ,Ozerov2019Anal,27,default,NA,NA,NA,NA,NA,NA
analnaga,analnaga010,no_stem,2.pl,náŋ-hín,náŋhín,n a ⁵ ŋ h i ⁵ n,náŋ+hín,Ozerov2019Anal,27,default,NA,NA,NA,NA,NA,NA
analnaga,analnaga011,no_stem,3.sg,àmá,àmá,a ¹ m a ⁵,àmá,Ozerov2019Anal,27,default,NA,NA,NA,NA,NA,NA
analnaga,analnaga012,no_stem,3.pl,àmá-hín,àmáhín,a ¹ m a ⁵ h i ⁵ n,àmá+hín,Ozerov2019Anal,27,default,NA,NA,NA,NA,NA,NA
analnaga,analnaga013,tʰa,1.sg.fut.aff,ʈʰáː-ká-níŋ,Σkáníŋ,Σ k a ⁵ n i ⁵ ŋ,Σ+ká+níŋ,Ozerov2019Anal,39,default,NA,special_stem,NA,NA,NA,NA
analnaga,analnaga014,tʰa,1.du.incl.fut.aff,ʈʰà-tɕəká,Σtɕəká,Σ ts ə k a ⁵,Σ+tɕəká,Ozerov2019Anal,39,hort,NA,NA,NA,NA,NA,NA
analnaga,analnaga015,tʰa,1.pl.excl.fut.aff,ʈʰà-hín-ká-níŋ,Σhínkáníŋ,Σ h i ⁵ n k a ⁵ n i ⁵ ŋ,Σ+hín+ká+níŋ,Ozerov2019Anal,39,default,NA,NA,NA,NA,NA,NA
analnaga,analnaga016,tʰa,1.pl.incl.fut.aff,ʈʰà-hín-tɕəká,Σhíntɕəká,Σ h i ⁵ n ts ə k a ⁵,Σ+hín+tɕəká,Ozerov2019Anal,39,default,NA,NA,NA,NA,NA,NA
analnaga,analnaga017,ta,1.sg.2.sg.fut.aff,a-ː-táː-ká-níŋ,aːΣkáníŋ,aa Σ k a ⁵ n i ⁵ ŋ,aː+Σ+ká+níŋ,Ozerov2025Anal,250423,default,NA,special_stem,NA,NA,NA,NA
analnaga,analnaga018,ta,1.sg.2.pl.fut.aff,a-ː-tà-hín-ká-níŋ,aːΣhínkáníŋ,aa Σ h i ⁵ n k a ⁵ n i ⁵ ŋ,aː+Σ+hín+ká+níŋ,Ozerov2025Anal,250423,default,NA,NA,NA,NA,NA,NA
analnaga,analnaga019,ta,1.pl.excl.2.sg.fut.aff,a-ː-tà-hín-ká-níŋ,aːΣhínkáníŋ,aa Σ h i ⁵ n k a ⁵ n i ⁵ ŋ,aː+Σ+hín+ká+níŋ,Ozerov2025Anal,250423,default,NA,NA,NA,NA,NA,NA
analnaga,analnaga020,ta,1.pl.excl.2.pl.fut.aff,a-ː-tà-hín-ká-níŋ,aːΣhínkáníŋ,aa Σ h i ⁵ n k a ⁵ n i ⁵ ŋ,aː+Σ+hín+ká+níŋ,Ozerov2025Anal,250423,default,NA,NA,NA,NA,NA,NA
analnaga,analnaga021,ta,1.sg.3.sg.fut.aff,táː-ká-níŋ,Σkáníŋ,Σ k a ⁵ n i ⁵ ŋ,Σ+ká+níŋ,Ozerov2025Anal,250423,default,NA,special_stem,NA,NA,NA,NA
analnaga,analnaga022,ta,1.sg.3.pl.fut.aff,tà-jéː-ká-níŋ,Σjéːkáníŋ,Σ j ee ⁵ k a ⁵ n i ⁵ ŋ,Σ+jéː+ká+níŋ,Ozerov2025Anal,250423,default,NA,NA,NA,NA,NA,NA
analnaga,analnaga023,ta,1.du.incl.3.sg.fut.aff,tà-tɕəká,Σtɕəká,Σ ts ə k a ⁵,Σ+tɕəká,Ozerov2025Anal,250609,hort,NA,NA,NA,NA,NA,NA
analnaga,analnaga024,ta,1.du.incl.3.pl.fut.aff,tà-jè-tɕəká,Σjètɕəká,Σ j e ¹ ts ə k a ⁵,Σ+jè+tɕəká,Ozerov2025Anal,250609,hort,NA,NA,NA,NA,NA,NA
