Left,Grapheme,Right,IPA
.,́,$, ⁵
^|.,́,., ⁵
.,̀,$, ¹
^|.,̀,., ¹
.,-,$,+
^|.,-,.,+
.,a,$,a
^|.,a,.,a
.,á,$,a ⁵
^|.,á,.,a ⁵
.,à,$,a ¹
^|.,à,.,a ¹
.,a-ː,$,a - a
^|.,a-ː,.,a - a
.,á-ː,$,a ⁵ - a ⁵
^|.,á-ː,.,a ⁵ - a ⁵
.,à-ː,$,a ¹ - a ¹
^|.,à-ː,.,a ¹ - a ¹
.,áː,$,aa ⁵
^|.,áː,.,aa ⁵
.,àː,$,aa ¹
^|.,àː,.,aa ¹
.,é,$,e ⁵
^|.,é,.,e ⁵
.,è,$,e ¹
^|.,è,.,e ¹
.,éː,$,ee ⁵
^|.,éː,.,ee ⁵
.,éː,-,ee ⁵
.,ə,$,ə
^|.,ə,.,ə
.,ə́ːˀ,.,eeˀ ⁵
^|.,g,.,g
.,g,$,g
.,h,$,h
^|.,h,.,h
.,i,$,i
^|.,i,.,i
.,í,$,i ⁵
^|.,í,.,i ⁵
.,ì,$,i ¹
^|.,ì,.,i ¹
.,ǐ,$,i ¹⁵
^|.,ǐ,.,i ¹⁵
.,j,$,j
^|.,j,.,j
.,k,$,k
^|.,k,.,k
.,m,$,m
^|.,m,.,m
.,n,$,n
^|.,n,.,n
.,ŋ,$,ŋ
^|.,ŋ,.,ŋ
.,s,$,s
^|.,s,.,s
.,t,$,t
^|.,t,.,t
.,tɕ,$,ts
^|.,tɕ,.,ts
.,ʈʰ,$,ʈʰ
^|.,ʈʰ,.,ʈʰ
.,ʈh,$,ʈʰ
^|.,ʈh,.,ʈʰ
.,ú,$,u ⁵
^|.,ú,.,u ⁵
.,ʉ,$,ʉ
^|.,ʉ,.,ʉ
.,v,$,v
^|.,v,.,v
.,Σ,$,Σ
^|.,Σ,.,Σ
.,\+,$,+
^|.,\+,.,+
