Left,Grapheme,Right,IPA
.,́,$, ⁵
^|.,́,., ⁵
.,̀,$, ¹
^|.,̀,., ¹
.,-,$,+
^|.,-,.,+
.,\+,$,+
^|.,\+,.,+
.,a,$,a
^|.,a,.,a
.,á,$,a ⁵
^|.,á,.,a ⁵
.,à,$,a ¹
^|.,à,.,a ¹
.,a-ː,$,aa 
^|.,a-ː,.,aa 
.,á-ː,$,aa ⁵
^|.,á-ː,.,aa ⁵
.,à-ː,$,aa ¹
^|.,à-ː,.,aa ¹
.,aː,$,aa 
^|.,aː,.,aa 
.,é,$,e ⁵
^|.,é,.,e ⁵
.,è,$,e ¹
^|.,è,.,e ¹
.,éː,$,ee ⁵
^|.,éː,.,ee ⁵
.,éː,-,ee ⁵
.,ə,$,ə
^|.,ə,.,ə
.,h,$,h
^|.,h,.,h
.,í,$,i ⁵
^|.,í,.,i ⁵
.,ì,$,i ¹
^|.,ì,.,i ¹
.,j,$,j
^|.,j,.,j
.,k,$,k
^|.,k,.,k
.,m,$,m
^|.,m,.,m
.,n,$,n
^|.,n,.,n
.,ŋ,$,ŋ
^|.,ŋ,.,ŋ
.,s,$,s
^|.,s,.,s
.,t,$,t
^|.,t,.,t
.,tɕ,$,ts
^|.,tɕ,.,ts
.,ʈʰ,$,ʈʰ
^|.,ʈʰ,.,ʈʰ
.,ú,$,u ⁵
^|.,ú,.,u ⁵
.,ʉ,$,ʉ
^|.,ʉ,.,ʉ
.,v,$,v
^|.,v,.,v
.,Σ,$,Σ
^|.,Σ,.,Σ
