Left,Grapheme,Right,IPA
.,́,$, ⁵
^|.,́,., ⁵
.,̀,$, ¹
^|.,̀,., ¹
.,-,$,+
^|.,-,.,+
.,a,$,a
^|.,a,.,a
.,á,$,a ⁵
^|.,á,.,a ⁵
.,à,$,a ¹
^|.,à,.,a ¹
.,b,$,b
^|.,b,.,b
.,c,$,ts
^|.,c,.,ts
.,d,$,d
^|.,d,.,d
.,e,$,e
^|.,e,.,e
.,é,$,e ⁵
^|.,é,.,e ⁵
.,è,$,e ¹
^|.,è,.,e ¹
.,ə,$,ə
^|.,ə,.,ə
.,i,$,i
^|.,i,.,i
.,í,$,i ⁵
^|.,í,.,i ⁵
.,ì,$,i ¹
^|.,ì,.,i ¹
.,k,$,k
^|.,k,.,k
.,m,$,m
^|.,m,.,m
.,n,$,n
^|.,n,.,n
.,ng,$,ŋ
^|.,ng,.,ŋ
.,ŋ,$,ŋ
^|.,ŋ,.,ŋ
.,ó,$,o ⁵
^|.,ó,.,o ⁵
.,ò,$,o ¹
^|.,ò,.,o ¹
.,r,$,r
^|.,r,.,r
.,s,$,s
^|.,s,.,s
.,t,$,t
^|.,t,.,t
.,th,$,tʰ
^|.,th,.,tʰ
.,u,$,u
^|.,u,.,u
.,ú,$,u ⁵
^|.,ú,.,u ⁵
.,ù,$,u ¹
^|.,ù,.,u ¹
.,z,$,z
^|.,z,.,z
.,Σ,$,Σ
^|.,Σ,.,Σ
^,Σ,$,Σ
.,\+,$,+
^|.,\+,.,+
