Left,Grapheme,Right,IPA
.,́,$, ⁵
^|.,́,., ⁵
.,̀,$, ¹
^|.,̀,., ¹
.,̂,$, ⁵¹
^|.,̂,., ⁵¹
.,á,$,a ⁵
^|.,á,.,a ⁵
.,à,$,a ¹
^|.,à,.,a ¹
.,â,$,a ⁵¹
^|.,â,.,a ⁵¹
.,æ,$,æ
^|.,æ,.,æ
.,ǽ,$,æ ⁵
^|.,ǽ,.,æ ⁵
.,b,$,b
^|.,b,.,b
.,é,$,e ⁵
^|.,é,.,e ⁵
.,è,$,e ¹
^|.,è,.,e ¹
.,ê,$,e ⁵¹
^|.,ê,.,e ⁵¹
.,ɘ,$,ɘ
^|.,ɘ,.,ɘ
.,h,$,h
^|.,h,.,h
.,hn,$,n̥
^|.,hn,.,n̥
.,i,$,i
^|.,i,.,i
.,í,$,i ⁵
^|.,í,.,i ⁵
.,ì,$,i ¹
^|.,ì,.,i ¹
.,î,$,i ⁵¹
^|.,î,.,i ⁵¹
.,k,$,k
^|.,k,.,k
.,kh,$,kʰ
^|.,kh,.,kʰ
.,l,$,l
^|.,l,.,l
.,m,$,m
^|.,m,.,m
.,n,$,n
^|.,n,.,n
.,ng,$,ŋ
^|.,ng,.,ŋ
.,ŋ,$,ŋ
^|.,ŋ,.,ŋ
.,ó,$,o ⁵
^|.,ó,.,o ⁵
.,ò,$,o ¹
^|.,ò,.,o ¹
.,ɔ,$,ɔ
^|.,ɔ,.,ɔ
.,p,$,p
^|.,p,.,p
.,r,$,r
^|.,r,.,r
.,s,$,s
^|.,s,.,s
.,t,$,t
^|.,t,.,t
.,ts,$,ts
^|.,ts,.,ts
.,ú,$,u ⁵
^|.,ú,.,u ⁵
.,ù,$,u ¹
^|.,ù,.,u ¹
.,û,$,u ⁵¹
^|.,û,.,u ⁵¹
.,ʉ,$,ʉ
^|.,ʉ,.,ʉ
.,y,$,j
^|.,y,.,j
.,ʔ,$,ʔ
^|.,ʔ,.,ʔ
.,-,$,+
^|.,-,.,+
.,Σ,$,Σ
^|.,Σ,.,Σ
.,n̥,$,n̥
^|.,n̥,.,n̥
.,kʰ,$,kʰ
^|.,kʰ,.,kʰ
^,Σ,$,Σ
.,\+,$,+
^|.,\+,.,+
.,̂,$, ⁵¹
^|.,̂,., ⁵¹
