Left,Grapheme,Right,IPA
.,́,$, ⁵
^|.,́,., ⁵
.,̀,$, ¹
^|.,̀,., ¹
.,-,$,+
^|.,-,.,+
.,’,$,ʔ
^|.,’,.,ʔ
.,\+,$,+
^|.,\+,.,+
.,a,$,a
^|.,a,.,a
.,á,$,a ⁵
^|.,á,.,a ⁵
.,à,$,a ¹
^|.,à,.,a ¹
.,aa,$,aa
^|.,aa,.,aa
.,áá,$,aa ⁵
^|.,áá,.,aa ⁵
.,d,$,d
^|.,d,.,d
.,e,$,e
^|.,e,.,e
.,é,$,e ⁵
^|.,é,.,e ⁵
.,è,$,e ¹
^|.,è,.,e ¹
.,h,$,
^|.,h,.,
.,i,$,i
^|.,i,.,i
.,í,$,i ⁵
^|.,í,.,i ⁵
.,ì,$,i ¹
^|.,ì,.,i ¹
.,íí,$,ii ⁵
^|.,íí,.,ii ⁵
.,k,$,k
^|.,k,.,k
.,l,$,l
^|.,l,.,l
.,m,$,m
^|.,m,.,m
.,n,$,n
^|.,n,.,n
.,ng,$,ŋ
^|.,ng,.,ŋ
.,ŋ,$,ŋ
^|.,ŋ,.,ŋ
.,p,$,p
^|.,p,.,p
.,r,$,r
^|.,r,.,r
.,t,$,t
^|.,t,.,t
.,ú,$,u ⁵
^|.,ú,.,u ⁵
.,Σ,$,Σ
^|.,Σ,.,Σ
