Left,Grapheme,Right,IPA
.,́,$, ⁵
^|.,́,., ⁵
.,̀,$, ¹
^|.,̀,., ¹
.,-,$,-
^|.,-,.,-
.,á,$,a ⁵
^|.,á,.,a ⁵
.,à,$,a ¹
^|.,à,.,a ¹
.,ǎ,$,a ¹⁵
^|.,ǎ,.,a ¹⁵
.,áː,$,aa ⁵
^|.,áː,.,aa ⁵
.,àː,$,aa ¹
^|.,àː,.,aa ¹
.,ǎː,$,aa ¹⁵
^|.,ǎː,.,aa ¹⁵
.,áá,$,aa ⁵
^|.,áá,.,aa ⁵
.,àà,$,aa ¹
^|.,àà,.,aa ¹
.,àá,$,aa ¹⁵
^|.,àá,.,aa ¹⁵
.,d,$,d
^|.,d,.,d
.,é,$,e ⁵
^|.,é,.,e ⁵
.,è,$,e ¹
^|.,è,.,e ¹
.,ɘ,$,ɘ
^|.,ɘ,.,ɘ
.,ɘ́ː,$,ɘɘ ⁵
^|.,ɘ́ː,.,ɘɘ ⁵
.,g,$,g
^|.,g,.,g
.,h,$,h
^|.,h,.,h
.,í,$,i ⁵
^|.,í,.,i ⁵
.,ì,$,i ¹
^|.,ì,.,i ¹
.,íː,$,ii ⁵
^|.,íː,.,ii ⁵
.,k,$,k
^|.,k,.,k
.,m,$,m
^|.,m,.,m
.,ḿ̩,$,m̩ ⁵
^|.,ḿ̩,.,m̩ ⁵
.,m̩̀,$,m̩ ¹
^|.,m̩̀,.,m̩ ¹
.,m̥,$,m̥
^|.,m̥,.,m̥
.,n,$,n
^|.,n,.,n
^|.,ǹ̩,.,n ¹
.,ǹ̩,$,n ¹
.,ń̩,$,n̩ ⁵
^|.,ń̩,.,n̩ ⁵
.,n̥,$,n̥
^|.,n̥,.,n̥
.,ŋ,$,ŋ
^|.,ŋ,.,ŋ
.,ŋ̩́,$,ŋ ⁵
^|.,ŋ̩́,.,ŋ ⁵
.,ŋ̩̀,$,ŋ ¹
^|.,ŋ̩̀,.,ŋ ¹
.,r,$,r
^|.,r,.,r
.,s,$,s
^|.,s,.,s
.,t,$,t
^|.,t,.,t
.,tʃ,$,tʃ
^|.,tʃ,.,tʃ
.,ú,$,u ⁵
^|.,ú,.,u ⁵
.,ù,$,u ¹
^|.,ù,.,u ¹
.,v,$,v
^|.,v,.,v
.,ʷú,$,ʉ ⁵
^|.,ʷú,.,ʉ ⁵
.,ʷù,$,ʉ ¹
^|.,ʷù,.,ʉ ¹
.,ʔ,$,ʔ
^|.,ʔ,.,ʔ
.,Ɂ,$,ʔ
^|.,Ɂ,.,ʔ
.,Σ,$,Σ
^|.,Σ,.,Σ
.,ḿ,$,m ⁵
^|.,ḿ,.,m ⁵
.,\+,$,+
^|.,\+,.,+
