cell_id,POS,TA,POL,A_Person,A_Number,A_Clusivity,O_Person,O_Number,O_Clusivity,Label
1.du.incl,pronoun,NA,NA,1,du,incl,NA,NA,NA,1DU.INCL
1.pl.excl,pronoun,NA,NA,1,pl,excl,NA,NA,NA,1PL.EXCL
1.pl.incl,pronoun,NA,NA,1,pl,incl,NA,NA,NA,1PL.INCL
1.sg,pronoun,NA,NA,1,sg,NA,NA,NA,NA,1SG
2.pl,pronoun,NA,NA,2,pl,NA,NA,NA,NA,2PL
2.sg,pronoun,NA,NA,2,sg,NA,NA,NA,NA,2SG
3.pl,pronoun,NA,NA,3,pl,NA,NA,NA,NA,3PL
3.sg,pronoun,NA,NA,3,sg,NA,NA,NA,NA,3SG
1.du.incl.3.pl.fut.aff,verb,fut,aff,1,du,incl,3,pl,NA,1DU.INCL>3PL.FUT.AFF
1.du.incl.3.pl.fut.neg,verb,fut,neg,1,du,incl,3,pl,NA,1DU.INCL>3PL.FUT.NEG
1.du.incl.3.pl.nfut.aff,verb,nfut,aff,1,du,incl,3,pl,NA,1DU.INCL>3PL.NFUT.AFF
1.du.incl.3.pl.nfut.neg,verb,nfut,neg,1,du,incl,3,pl,NA,1DU.INCL>3PL.NFUT.NEG
1.du.incl.3.sg.fut.aff,verb,fut,aff,1,du,incl,3,sg,NA,1DU.INCL>3SG.FUT.AFF
1.du.incl.3.sg.fut.neg,verb,fut,neg,1,du,incl,3,sg,NA,1DU.INCL>3SG.FUT.NEG
1.du.incl.3.sg.nfut.aff,verb,nfut,aff,1,du,incl,3,sg,NA,1DU.INCL>3SG.NFUT.AFF
1.du.incl.3.sg.nfut.neg,verb,nfut,neg,1,du,incl,3,sg,NA,1DU.INCL>3SG.NFUT.NEG
1.du.incl.fut.aff,verb,fut,aff,1,du,incl,NA,NA,NA,1DU.INCL.FUT.AFF
1.du.incl.fut.neg,verb,fut,neg,1,du,incl,NA,NA,NA,1DU.INCL.FUT.NEG
1.du.incl.nfut.aff,verb,nfut,aff,1,du,incl,NA,NA,NA,1DU.INCL.NFUT.AFF
1.du.incl.nfut.neg,verb,nfut,neg,1,du,incl,NA,NA,NA,1DU.INCL.NFUT.NEG
1.pl.excl.2.pl.fut.aff,verb,fut,aff,1,pl,excl,2,pl,NA,1PL.EXCL>2PL.FUT.AFF
1.pl.excl.2.pl.fut.neg,verb,fut,neg,1,pl,excl,2,pl,NA,1PL.EXCL>2PL.FUT.NEG
1.pl.excl.2.pl.nfut.aff,verb,nfut,aff,1,pl,excl,2,pl,NA,1PL.EXCL>2PL.NFUT.AFF
1.pl.excl.2.pl.nfut.neg,verb,nfut,neg,1,pl,excl,2,pl,NA,1PL.EXCL>2PL.NFUT.NEG
1.pl.excl.2.sg.fut.aff,verb,fut,aff,1,pl,excl,2,sg,NA,1PL.EXCL>2SG.FUT.AFF
1.pl.excl.2.sg.fut.neg,verb,fut,neg,1,pl,excl,2,sg,NA,1PL.EXCL>2SG.FUT.NEG
1.pl.excl.2.sg.nfut.aff,verb,nfut,aff,1,pl,excl,2,sg,NA,1PL.EXCL>2SG.NFUT.AFF
1.pl.excl.2.sg.nfut.neg,verb,nfut,neg,1,pl,excl,2,sg,NA,1PL.EXCL>2SG.NFUT.NEG
1.pl.excl.3.pl.fut.aff,verb,fut,aff,1,pl,excl,3,pl,NA,1PL.EXCL>3PL.FUT.AFF
1.pl.excl.3.pl.fut.neg,verb,fut,neg,1,pl,excl,3,pl,NA,1PL.EXCL>3PL.FUT.NEG
1.pl.excl.3.pl.nfut.aff,verb,nfut,aff,1,pl,excl,3,pl,NA,1PL.EXCL>3PL.NFUT.AFF
1.pl.excl.3.pl.nfut.neg,verb,nfut,neg,1,pl,excl,3,pl,NA,1PL.EXCL>3PL.NFUT.NEG
